x_sol,y_sol,x_mer,y_mer,x_ven,y_ven,x_ter,y_ter,x_mar,y_mar
4.9713e-07,9.51942e-08,0.0868507,0.407559,0.615006,0.386015,0.941771,0.338846,1.49853,0.27837
5.14694e-07,1.00306e-07,0.0778344,0.410254,0.611157,0.392286,0.939657,0.344757,1.4976,0.283373
5.32528e-07,1.05589e-07,0.0687792,0.412743,0.607247,0.398518,0.937507,0.350655,1.49665,0.288373
5.50632e-07,1.11045e-07,0.0596899,0.415029,0.603275,0.40471,0.93532,0.356539,1.49568,0.293369
5.69002e-07,1.16677e-07,0.0505713,0.417109,0.599244,0.410861,0.933097,0.362409,1.4947,0.298363
5.87638e-07,1.22487e-07,0.0414278,0.418986,0.595152,0.416971,0.930838,0.368266,1.4937,0.303353
6.06536e-07,1.28476e-07,0.0322641,0.420658,0.591001,0.423039,0.928542,0.374107,1.49269,0.30834
6.25694e-07,1.34648e-07,0.0230849,0.422127,0.586791,0.429065,0.926211,0.379935,1.49166,0.313323
6.45112e-07,1.41004e-07,0.0138945,0.423392,0.582522,0.435049,0.923844,0.385748,1.49061,0.318303
6.64785e-07,1.47545e-07,0.00469745,0.424454,0.578195,0.440988,0.921441,0.391545,1.48954,0.32328
6.84713e-07,1.54275e-07,-0.00450182,0.425315,0.57381,0.446884,0.919002,0.397328,1.48846,0.328252
7.04892e-07,1.61195e-07,-0.013699,0.425974,0.569368,0.452735,0.916528,0.403095,1.48737,0.333221
7.25322e-07,1.68306e-07,-0.0228897,0.426433,0.564869,0.458541,0.914018,0.408847,1.48625,0.338187
7.45999e-07,1.75611e-07,-0.0320696,0.426692,0.560314,0.464302,0.911472,0.414582,1.48512,0.343149
7.66921e-07,1.83112e-07,-0.0412347,0.426753,0.555703,0.470016,0.908892,0.420302,1.48398,0.348107
7.88087e-07,1.9081e-07,-0.0503807,0.426616,0.551036,0.475683,0.906276,0.426006,1.48281,0.353061
8.09493e-07,1.98707e-07,-0.0595035,0.426283,0.546315,0.481303,0.903625,0.431692,1.48163,0.358011
8.31139e-07,2.06806e-07,-0.0685991,0.425755,0.54154,0.486875,0.900939,0.437363,1.48044,0.362957
8.53021e-07,2.15107e-07,-0.0776634,0.425033,0.536711,0.492398,0.898218,0.443016,1.47922,0.367899
8.75137e-07,2.23613e-07,-0.0866926,0.424119,0.531828,0.497873,0.895463,0.448652,1.478,0.372837
8.97486e-07,2.32324e-07,-0.0956828,0.423013,0.526893,0.503298,0.892672,0.454271,1.47675,0.377771
9.20064e-07,2.41244e-07,-0.10463,0.421719,0.521905,0.508674,0.889848,0.459872,1.47549,0.382701
9.4287e-07,2.50373e-07,-0.113531,0.420237,0.516865,0.513999,0.886988,0.465455,1.47421,0.387627
9.65902e-07,2.59713e-07,-0.122381,0.418568,0.511775,0.519273,0.884095,0.47102,1.47292,0.392548
9.89156e-07,2.69265e-07,-0.131178,0.416715,0.506633,0.524495,0.881167,0.476568,1.47161,0.397465
1.01263e-06,2.79032e-07,-0.139917,0.414679,0.501442,0.529666,0.878205,0.482096,1.47028,0.402377
1.03632e-06,2.89015e-07,-0.148595,0.412462,0.496201,0.534784,0.875209,0.487606,1.46894,0.407285
1.06023e-06,2.99214e-07,-0.157208,0.410066,0.490911,0.539849,0.87218,0.493097,1.46758,0.412189
1.08436e-06,3.09633e-07,-0.165753,0.407493,0.485572,0.544861,0.869116,0.498569,1.4662,0.417088
1.10869e-06,3.20271e-07,-0.174228,0.404745,0.480185,0.549819,0.866019,0.504022,1.46481,0.421982
1.13324e-06,3.31131e-07,-0.182627,0.401824,0.474751,0.554723,0.862889,0.509456,1.4634,0.426872
1.15799e-06,3.42214e-07,-0.190949,0.398731,0.46927,0.559572,0.859725,0.514869,1.46198,0.431757
1.18295e-06,3.53522e-07,-0.19919,0.39547,0.463743,0.564366,0.856528,0.520263,1.46054,0.436637
1.20811e-06,3.65055e-07,-0.207347,0.392041,0.45817,0.569105,0.853297,0.525636,1.45908,0.441513
1.23347e-06,3.76815e-07,-0.215417,0.388448,0.452552,0.573787,0.850034,0.53099,1.45761,0.446383
1.25902e-06,3.88803e-07,-0.223396,0.384692,0.44689,0.578413,0.846738,0.536323,1.45612,0.451249
1.28478e-06,4.01021e-07,-0.231283,0.380776,0.441183,0.582982,0.843409,0.541635,1.45461,0.456109
1.31072e-06,4.1347e-07,-0.239073,0.376702,0.435434,0.587494,0.840048,0.546926,1.45309,0.460964
