x_soleil,y_soleil,x_terre,y_terre
2.21474e-06,0.00017043,0.0617535,1.13562
2.37539e-06,0.000170624,0.00820349,1.14791
2.5361e-06,0.000170827,-0.0453677,1.15724
2.69647e-06,0.000171038,-0.0988248,1.16365
2.85612e-06,0.000171259,-0.152039,1.16722
3.01467e-06,0.000171487,-0.20489,1.16799
3.17178e-06,0.000171724,-0.25726,1.16602
3.32712e-06,0.000171969,-0.30904,1.16137
3.48037e-06,0.000172221,-0.360124,1.15411
3.63123e-06,0.000172482,-0.410411,1.1443
3.77941e-06,0.000172749,-0.459805,1.13199
3.92464e-06,0.000173024,-0.508213,1.11727
4.06664e-06,0.000173307,-0.555546,1.10017
4.20516e-06,0.000173596,-0.601719,1.08078
4.33995e-06,0.000173891,-0.646649,1.05916
4.47077e-06,0.000174194,-0.690256,1.03537
4.59738e-06,0.000174502,-0.732461,1.00948
4.71957e-06,0.000174817,-0.77319,0.981558
4.8371e-06,0.000175137,-0.812368,0.951665
4.94977e-06,0.000175464,-0.849924,0.919872
5.05736e-06,0.000175795,-0.885788,0.886248
5.15967e-06,0.000176132,-0.919891,0.850862
5.25649e-06,0.000176474,-0.952165,0.813785
5.34763e-06,0.000176821,-0.982543,0.775089
5.43288e-06,0.000177173,-1.01096,0.734846
5.51206e-06,0.000177529,-1.03735,0.693131
5.58497e-06,0.000177889,-1.06166,0.650021
5.65142e-06,0.000178253,-1.08381,0.605593
5.71123e-06,0.000178621,-1.10374,0.559928
5.76421e-06,0.000178992,-1.1214,0.513109
5.81018e-06,0.000179367,-1.13673,0.46522
5.84895e-06,0.000179744,-1.14965,0.41635
5.88034e-06,0.000180125,-1.16011,0.36659
5.90418e-06,0.000180507,-1.16806,0.316035
5.9203e-06,0.000180892,-1.17343,0.264783
5.92851e-06,0.000181278,-1.17617,0.212937
5.92864e-06,0.000181666,-1.17621,0.160605
5.92054e-06,0.000182055,-1.17351,0.107898
5.90404e-06,0.000182445,-1.16801,0.0549335
5.87897e-06,0.000182835,-1.15966,0.00183559
5.8452e-06,0.000183225,-1.1484,-0.0512665
5.80258e-06,0.000183615,-1.13419,-0.104236
5.75097e-06,0.000184004,-1.11699,-0.15693
5.69025e-06,0.000184391,-1.09675,-0.209197
5.6203e-06,0.000184777,-1.07343,-0.260877
5.54105e-06,0.000185161,-1.04702,-0.311803
5.4524e-06,0.000185542,-1.01747,-0.361795
5.35431e-06,0.000185919,-0.984769,-0.410667
5.24674e-06,0.000186293,-0.948913,-0.458221
5.1297e-06,0.000186662,-0.909899,-0.50425
5.00322e-06,0.000187025,-0.867739,-0.548535
4.86737e-06,0.000187383,-0.822458,-0.590846
4.72229e-06,0.000187734,-0.774096,-0.630944
4.56814e-06,0.000188078,-0.722713,-0.668577
4.40516e-06,0.000188414,-0.668387,-0.703488
4.23366e-06,0.00018874,-0.61122,-0.735408
4.05402e-06,0.000189057,-0.551339,-0.764061
3.8667e-06,0.000189363,-0.4889,-0.78917
3.67227e-06,0.000189658,-0.424092,-0.810452
3.47141e-06,0.00018994,-0.357135,-0.827629
3.26487e-06,0.00019021,-0.28829,-0.840427
3.05356e-06,0.000190465,-0.217854,-0.848585
2.83849e-06,0.000190706,-0.146163,-0.851859
2.62079e-06,0.000190931,-0.0735976,-0.85003
2.40172e-06,0.000191141,-0.000573918,-0.842909
2.18264e-06,0.000191334,0.0724535,-0.830349
1.96501e-06,0.00019151,0.144998,-0.812251
